Game.Id,Period,Time,Scorer,Assist.1,Assist.2,TeamId,Note,season,SQ
1153,2,123,1310,1118,1340,14,ES,66,NA
1153,2,760,1405,1327,1297,9,PP,66,NA
1153,2,1072,1589,1068,1078,14,ES,66,NA
1153,2,1100,1122,1195,1314,14,ES,66,NA
1153,3,609,1405,1239,1327,9,PP,66,NA
1153,3,1132,1314,1118,1122,14,"ES, ENG",66,NA
1097,1,1066,1264,NA,NA,16,ES,66,NA
1097,1,1092,856,858,1871,5,ES,66,NA
1097,2,999,856,999,1051,5,SH,66,NA
1097,3,257,1611,1463,1737,16,ES,66,NA
1097,3,313,1232,1272,1483,5,ES,66,NA
1097,3,516,1272,1483,1051,5,ES,66,NA
1513,1,83,1101,NA,NA,15,PP,66,NA
1513,2,102,1449,1183,1101,15,ES,66,NA
1513,2,819,1101,1476,1066,15,ES,66,NA
1513,2,1043,1652,1017,1171,4,ES,66,NA
1513,3,629,1247,1043,1476,15,ES,66,NA
1523,1,23,1005,1352,1162,3,ES,66,NA
1523,1,616,1184,NA,NA,2,ES,66,NA
1523,1,996,1005,NA,NA,3,ES,66,NA
1523,2,322,1712,1372,1293,3,ES,66,NA
1523,3,373,1162,1005,1876,3,ES,66,NA
1523,3,641,1039,1269,1372,3,ES,66,NA
1221,1,237,1046,1101,1355,15,PP,66,NA
1221,1,1189,833,1189,1355,15,ES,66,NA
1221,3,950,1066,1449,1046,15,ES,66,NA
1103,1,927,1874,1537,1406,1,ES,66,NA
1103,2,645,1311,NA,NA,16,ES,66,NA
1103,2,795,1032,1059,1090,1,PP,66,NA
1103,2,998,1690,1737,1229,16,ES,66,NA
1103,OT1,251,1090,1537,1258,1,PP,66,NA
1105,1,286,1053,994,858,5,ES,66,NA
1105,1,954,879,1227,1038,6,ES,66,NA
1105,1,1046,1002,NA,NA,5,ES,66,NA
1105,2,662,999,1002,NA,5,ES,66,NA
1126,1,710,1197,1083,1570,7,ES,66,NA
1126,1,896,1344,1361,1197,7,ES,66,NA
1126,2,820,1992,1327,1239,9,ES,66,NA
1126,3,457,1255,1113,1394,9,PP,66,NA
1126,OT1,175,1327,NA,NA,9,ES,66,NA
1107,1,243,1159,1032,1090,1,PP,66,NA
